Kd_Kel.,Kd_Barang,Keterangan,Ukuran,minimum,Satuan,Ekuivalen,Qty,Harga_Jual
K001,HP026,Hot Paper Cup Hitam 8 oz @ 1.000 pcs / Dus. ( Hitam ),8 Oz,1,Dus,20 pack,1.000 Pcs,369.6
K001,HP028,Hot Paper Cup Hitam 6.5 oz @ 1.000 pcs / Dus. ( Hitam ),6.5 Oz,1,Dus,20 pack,1.000 Pcs,306
K001,HP023,Hot Paper Cup Plain 12 oz @ 1.000 pcs / Dus ( Besar ),12 Oz,1,Dus,20 pack,1.000 Pcs,520
K001,HP027,Hot Paper Cup Plain 12 oz @ 1.000 pcs / Dus ( Kecil ),12 Oz,1,Dus,20 pack,1.000 Pcs,498
K001,HP024,Hot Paper Cup Plain 9 oz @ 1.000 pcs / Dus,9 Oz,1,Dus,20 pack,1.000 Pcs,317
K001,HP029,Hot Paper Cup Plain 8 Oz (BSM New) @ 1.000 Pcs / Dus,8 Oz,1,Dus,,1.000 Pcs,362
K001,HP036,Hot Paper Cup Plain 8 Oz (kotak polos) @1.000 Pcs / Dus,8 Oz,1,Dus,,1.000 Pcs,362
K001,HP037,Hot Paper Cup Plain 8oz (DW) @ 500 Pcs / Dus,8oz,1,Dus,,500 Pcs,335
K001,HP038,Hot Paper Cup Hitam 8oz (DW) @ 500 Pcs / Dus,8oz,1,Dus,,500 Pcs,455
,,,,,,,,
K001,HP030,Hot Paper Cup Generic 8 Oz. Motif Coffee Break,8 Oz,1,Dus,20 pack,1.000 Pcs,365
K001,HP031,Hot Paper Cup Generic 8 Oz. Motif Premium Coffee ,8 Oz,1,Dus,20 pack,1.000 Pcs,365
K001,HP032,Hot Paper Cup Generic 8 Oz. Motif I Love Coffee ,8 Oz,1,Dus,20 pack,1.000 Pcs,365
K001,HP033,Hot Paper Cup Generic 8 Oz. Motif Mr. Coffee ,8 Oz,1,Dus,20 pack,1.000 Pcs,365
K001,HP034,Hot Paper Cup Generic 9 Oz. Motif Premium Coffee ,9 Oz,1,Dus,20 pack,1.000 Pcs,323
K001,HP035,Hot Paper Cup Generic 9 Oz. Motif Mr. Coffee ,9 Oz,1,Dus,20 pack,1.000 Pcs,323
K001,HP043,Hot Paper Cup Generic 8 Oz Motif Mix @1.000 Pcs,8 Oz,1,Dus,,1.000 Pcs,365
,,,,,,,,
K001,HP040,Hot Paper Cup Full Kraft 8 oz @ 1.000Pcs/Dus,8 Oz,1,Dus,,1.000 Pcs,499
K001,HP041,Hot Paper Cup Putih Lapis Kraft 8 oz @ 1.000Pcs/Dus,8 Oz,1,Dus,,1.000 Pcs,565.9
K001,HP044,Hot Paper Cup Kraft 8 oz  Double Wall @ 500Pcs/Dus,8 Oz,1,Dus,,500 Pcs,368
,,,,,,,,
K007,KS001,Kertas Nasi GM (25 x 27 CM) @ 5000pcs/ Dus,,1,Dus,1 pack,5000 Pcs,"459113"
K007,KS002,Kertas mg/Kertas KFC Gbr Hijau (22.5 x 27 CM) @ 5000pcs/ Dus,,1,Dus,1 pack,5000 Pcs,770
K007,KS003,Kertas mg/Kertas KFC Gbr Hitam (22.5 x 27 CM) @ 5000pcs/ Dus,,1,Dus,1 pack,5000 Pcs,770
K007,KS004,Kertas mg/Kertas KFC Gbr Merah (22.5 x 27 CM) @ 5000pcs/ Dus,,1,Dus,1 pack,5000 Pcs,770
,,,,,,,,
K002,CP029,Cup Plain ice cream 2 oz @ 1.000 pcs / Dus,2 Oz,1,Dus,20 pack,1.000 Pcs,345
K002,CP030,Cup Plain ice cream 4 oz @ 1.000 pcs / Dus,4 Oz,1,Dus,20 pack,1.000 Pcs,375
K002,CP031,Cup Plain Ice Cream 5 oz @ 1.000 pcs / Dus,5 Oz,1,Dus,20 pack,1.000 Pcs,445
K002,CP040,Lid Injection Ice Cream 5 Oz @ 1.000 pcs / Dus Coklat Gold,5 Oz,1,Dus,20 pack,1.000 Pcs,800
K002,CP042,Lid Injection Ice Cream 4 oz warna Coklat Gold 1.000 pcs / Dus,4 Oz,1,Dus,20 pack,1.000 Pcs,650
K002,CP043,Lid Pet ice cream 2.4.6 oz,4 Oz,1,Dus,10 pack,,190
K002,CP044,Lid PET Cup Ice Cream 5 oz,5 Oz,1,Dus,10 pack,,200
K002,CP045,Lid Injection Ice Cream/Hijau 2.4.6 oz @ 1.000 pcs / Dus,4 Oz,1,Dus,20 pack,1.000 Pcs,650
,,,,,,,,
K002,CP046,Lid Inject Hitam+stopper merah,,,,,,
K002,CP047,Lid Inject Nat+stopper Merah,,,,,,
K002,CP048,Lid Inject Nat+stopper Putih,,,,,,
K002,CP049,Lid Inject Nat+stopper Natural,,,,,,
K002,CP050,Lid Inject Hitam+stopper Natural,,,,,,
,,,,,,,,
K004,BT001,Botol Kalle 250 ml @ 252 Pcs / Dus,250 Ml,1,Dus,252 Pcs,252 Pcs,585.144
K004,BT002,Botol kalle 500 ml @ 126 Pcs / Dus,500 Ml,1,Dus,126 Pcs,126 Pcs,424.62
K004,BT004,Botol Kalle 1.000 ml @ 204 Pcs / Dus,1000 Ml,1,Dus,204 Pcs,204 Pcs,1053.456
K004,BT005,Botol Kalle Ceria 250 ml @300 Pcs / Dus,250 Ml,1,Dus,300 Pcs,300 Pcs,576.6
K004,BT006,Botol Kalle Ceria  Eco 250 ml @ 100 pcs / Ball,250 Ml,1,Ball,100 Pcs,100 Pcs,164.403
K004,BT008,Botol Kalle 1.000 ml @ 100 Pcs / Dus,1000 Ml,1,Dus,100 Pcs,100 Pcs,516.4
K004,BT009,Botol Kalle 250 ml ( 27 gr ) @ 50 Pcs / Ball,250 Ml,1,Ball,50 Pcs,50 Pcs,111.1
K004,BT010,Botol SN 30. 500 ml @ 60 Pcs / Ball,500 Ml,1,Ball,60 Pcs,60 Pcs,46.66
K004,BT011,Botol Kalle 250 ml. Tebal New (26-27gr) @ 400 Pcs ,250 Ml,1,Dus,400 Pcs,400 Pcs,680
K004,BTE01,Botol Kalle Ekonomis 250 ml @ 300 Pcs / Dus,250 ml,1,Dus,300 Pcs,300 Pcs,636.6
K004,BTE02,Botol Kalle Ekonomis 250 ml @ 214 Pcs / Dus,250 ml,1,Dus,214 Pcs,214 Pcs,454.108
K004,BKK01,Botol KK Square 250 ml @252 Pcs / Dus,250 ml,1,Dus,252 Pcs,252 Pcs,"585144"
K004,BKS01,Botol Kalle Square 250 ml @ 252 Pcs / Dus,250 ml,1,Dus,252 Pcs,252 Pcs,585.144
K004,BKS02,Botol Kalle Square 500 ml @ 126 Pcs / Dus,500 ml,1,Dus,126 Pcs,126 Pcs,424.62
K004,BKS03,Botol Kick Square 1.000 ml @ 208 Pcs / Dus,1000 ml,1,Dus,208 Pcs,208 Pcs,1.074027
K004,BKS04,Botol Kasta ( KS ) 250 ml @ 100 Pcs / Ball,250 ml,1,Ball,100 Pcs,100 Pcs,105
K004,BKS05,Botol Kalle Square 250 ml @ 300 Pcs / Dus,250 ml,1,Dus,300 Pcs,300 Pcs,696.6
K004,BKS06,Botol Kalle Square 250 ml @ 180 Pcs / Dus,250 ml,1,Dus,180 Pcs,180 Pcs,417.96
K004,BKS07,Botol Kick Square 500 ml @ 126 Pcs / Dus,500 Ml,1,Dus,126 Pcs,126 Pcs,424.62
K004,BLN01,Botol Leon 200 ml @ 336 Pcs / Dus,200 ml,1,Dus,336 Pcs,336 Pcs,655.2
K004,BLN02,Botol 500 ml (LN 30) New @91 Pcs/ball,500 ml,1,Ball,91 Pcs,,95.55
K004,BLN03,Botol 200 Leon @294 Pcs/Dus,200 ml,1,Dus,294 Pcs,294 Pcs,573.3
K004,BC002,Botol Cimory 250 ml @ 100 Pcs / Ball,250 ml,1,Ball,100 Pcs,100 Pcs,111.9
K004,BC003,Botol Cikita Ekonomis ( CK ) 250 ml @ 90 Pcs / Ball,250 ml,1,Ball,90 Pcs,90 Pcs,94.5
K004,BC004,Botol Cimory Tall 250 ml @ 100 Pcs / Ball,250 ml,1,Ball,100 Pcs,100 Pcs,111.9
K004,BC005,Botol Cimory 250 ml @ 104 Pcs / Ball,250 ml,1,Ball,104 Pcs,104 Pcs,116.376
K004,BL002,Botol Liebe 250 ml @ 216 pcs / Dus,250 ml,1,Dus,216 Pcs,216 Pcs,501.552
K004,BVL01,Botol Valensia ( VL )350 ml @ 165 pcs / dus. ( Tutup Hijau ),350 ml,1,Dus,165 pcs,165 Pcs,425822.00
K004,BVL02,Botol Valensia ( VL ) Pendek 350 ml @ 176 Pcs / Ikat,350 Ml,1,Ikat,176 Pcs,176 Pcs,473440.00
K004,BHS02,Botol Hand Soap ( HS01 ) 500 ml @ 113 Pcs / Dus,500 ml,1,Dus,113 Pcs,113 Pcs,470984.00
K004,BCK01,Botol cantik 350 ml (SN 30) @77pcs/ball,350 ml,1,Ball,77 pcs,,135520.00
K004,BVL03,Botol Valensia (VL) Pendek 350 ml @131 pcs/Dus,350 ml,1,Ball,131 pcs,,338200.00
K004,BTP01,Botol PET VL pendek 350ml @240 pcs/Dus,350 ml,1,Dus,240 pcs,240 Pcs,619440.00
K004,BTP02,Botol PET VL Pendek 350 ml @ 216 pcs/dus,350 ml,1,0,0,0,557496.00
K004,BKC25,Botol Kecap 275ml @99pcs/Ball (tutup Merah),275 ml,1,Ball,99 pcs,,163350.00
K004,BYC01,Botol YoCool 250 ml @ 264 Pcs / Dus,250 ml,1,Dus,264 Pcs,264 Pcs,572800.00
,,,,,,,,
K004,BBR01,Botol Boston Round ( BR01 ) 100 ml @ 652 Pcs / Dus,100 Ml,1,Dus,652 pcs,652 Pcs,831952.00
K004,BBR02,Botol Boston Round ( BR02 ) 60 ml @ 980 Pcs / Dus,60 Ml,1,Dus,980 pcs,980 Pcs,822220.00
K004,BBR03,Botol Boston Round ( BR03 ) 27 ml @ 200 Pcs /Bungkus,27 Ml,1,Dus,200 pcs,200 Pcs,153400.00
K004,BBR04,Botol Boston Round 250 ml @ 270 Pcs / Dus,250 Ml,1,Dus,270 pcs,270 Pcs,499770.00
K004,BBR05,Botol Boston Round 100 ml ( BR100 ) @ 1.000 Pcs / Dus,100 Ml,1,Dus,1.000 Pcs,1.000 Pcs,2740000.00
,,,,,,,,
K004,BSC01,Botol Sabun Cair 550 ml @ 72 Pcs / Ball + Tutup Hijau,550 ML,1,Ball,72 Pcs,72 Pcs,87552.00
K004,BGD01,"Botol GD ""A"" 750 ml @ 120 Pcs / Dus + Tutup Hitam",750 ML,1,Dus,120 Pcs,120 Pcs,479160.00
K004,BGD02,"Botol GD ""A"" 1000 ml @ 88 Pcs / Dus + Tutup Hitam",1000 ML,1,Dus,88 Pcs,88 Pcs,369864.00
K004,BGD03,"Botol ""GD"" 250ml @224Pcs/Dus",250 ML,1,Dus,224 Pcs,224 Pcs,"470400.00"
K004,BGD05,"Botol ""GD"" 500ml @117Pcs/Dus",500 ML,1,Dus,117 Pcs,117 Pcs,"362700.00"
,,,,,,,,
K004,BS003,Botol Syrup 750 ML @73 Pcs/Dus,750 ML,1,Dus,73 pcs,,"247762.00"
K004,BS004,Botol Syrup 750 ML @61 Pcs/Dus,750 ML,1,Dus,61 Pcs,61 Pcs,"207034.00"
,,,,,,,,
K004,TM001,Botol Bumbu 150 ml @ 125 pcs / Ball,,1,Ball,125 pcs,125 Pcs,"266875.00"
K004,TM003,Botol Bumbu 270 ml @ 110 pcs / Ball,,1,Ball,110 pcs,110 Pcs,"254320.00"
K004,TM004,Botol Bumbu Square 200 ml @ 96 pcs / Ball,,1,Ball,96 pcs,96 Pcs,"217440.00"
K004,TM008,Botol Bumbu Round 200 ml @ 96 Pcs / Ball,,1,Ball,96 pcs,96 Pcs,"217440.00"
K004,TM010,Botol Bumbu 320 ml @ 77 Pcs / Ball,,1,Ball,77 pcs,77 Pcs,"191268.00"
K004,TM015,Botol Bumbu 140 ml @ 500 Pcs / Dus,,1,Dus,500 Pcs,500 Pcs,"1075500.00"
K004,TM018,Botol Bumbu 340 ml @ 100 Pcs / Ball,,1,Ball,100 Pcs,100 Pcs,"260000.00"
K004,TM019,Botol Bumbu Square 150 ml @ 100 Pcs / Ball,,1,Ball,100 Pcs,100 Pcs,"213500.00"
,,,,,,,,
K004,TM005,Botol Kecap 140 ml @ 400 pcs / Dus ( Tutup Merah ),,1,Dus,400 pcs,400 Pcs,"520000.00"
K004,TM016,Botol Kecap 300 ml @ 111 pcs / Ball ( Tutup Merah ),,1,Ball,111 Pcs,111 Pcs,"185000.00"
K004,TM017,Botol Kecap 625 ml @ 136 pcs / Ball ( Tutup Merah ),,1,Ball,136 Pcs,136 Pcs,"287232.00"
K004,TM002,Botol Kecap 275 ml @99 pcs / Ball,,1,Ball,99 Pcs,99 Pcs,"163350.00"
,,,,,,,,
K004,TM011,Jar Exclusive 250 ml @ 216 Pcs / Dus,,1,Dus,216 Pcs,216 Pcs,"1030752.00"
K004,TM006,Jar Cylinder 600 ml @ 56 Pcs / Ball,,1,Ball,56 pcs,56 Pcs,"228480.00"
K004,TM012,Jar Cylinder 1.000 ml @ 46 Pcs / Ball,,1,Ball,46 Pcs,46 Pcs,"224066.00"
K004,TM013,Jar Cylinder 750 ml @ 56 Pcs / Ball,,1,Ball,56 Pcs,56 Pcs,"236376.00"
K004,TM014,Jar Cylinder 1.300 ml @ 42 Pcs / Ball,,1,Ball,42 Pcs,42 Pcs,"216636.00"
K004,TM021,Jar Cylinder 300 ml @ 42 Pcs / Ball,,1,Ball,42 Pcs,42 Pcs,"145278.00"
K004,TM023,Jar Cylinder 400 ml @ 40 Pcs / Ball,,1,Ball,40 Pcs,40 Pcs,"150040.00"
K004,TM025,Jar Cylinder Tall 500 ml @ 60 Pcs / Ball + Tutup Hitam,,1,Ball,60 Pcs,60 Pcs,"223000.00"
K004,TM026,Jar Cylinder Tall 750 ml @ 77 Pcs / Ball + Tutup Hitam,,1,Ball,77 Pcs,77 Pcs,"300429.00"
K004,TM028,Jar Cylinder 200 ml @42 Pcs / Ball,,1,Ball,42 Pcs,42 Pcs,"144100.00"
K004,TM029,Jar Cylinder 600 ml @35 Pcs / Ball,,1,Ball,35 Pcs,35 Pcs,"142800.00"
K004,TM032,Jar Cylinder 750 ml @35 Pcs / Ball,,1,Ball,35 Pcs,35 Pcs,"147735.00"
,,,,,,,,
K004,TM027,Jar Cylinder Tall 750 ml @ 81 Pcs / Ball + Tutup Hitam,,1,Ball,81 Pcs,,"292329.00"
,,,,,,,,
K004,TM030,Jar Guci Round 475 ml @ 40 pcs / Ball. Tutup Warna Gold,,1,Ball,40 Pcs,40 Pcs,"143920.00"
K004,TM031,Jar Guci Square 475 ml @ 42 pcs / Ball. Tutup Warna Merah,,1,Ball,42 Pcs,42 Pcs,"151116.00"
K004,TM035,Jar 350 ml SQ + Inner + Tutup Nat,,1,Ball,72 pcs,,"249480.00"
K004,TM036,Jar 430 ml SQ + Inner + Tutup Nat,,1,Ball,80 pcs,,"277200.00"
K004,TM050,Jar Segi Enam 700 ml @ 72 Pcs / Ball,,1,Ball,72 Pcs,72 Pcs,"244656.00"
,,,,,,,,
K004,TM055,Jar Hexa 1000 ml + Cap Hanger. Warna Gold @63 pcs/Ball,,1,Ball,63 Pcs,,"320040.00"
,,,,,,,,
K004,TM060,Jar Madu 250ml @100 Pcs/ Ball,,1,Ball,100Pcs,100Pcs,
,,,,,,,,
K004,BT007,Botol Journal 250 ml @ 100 Pcs / Ball + Tutup Hitam,250 ML,1,Ball,100 Pcs,100 Pcs,175.9
K004,TM007,Botol Jelly 100 ml @ 180 Pcs / Ball ( Tutup Putih ),,1,Ball,180 pcs,180 Pcs,"189000.00"
,,,,,,,,
K004,BP001,Bowl PET GRB-02 + Tutup,,1,Dus,20 pack,,663
K004,BP002,Bowl PET GRB-03 Tanpa Tutup. @ 500 Pcs / Dus,,1,Dus,,500 Pcs,390.37
K004,CU001,Cup Pet 14 Oz (Gosyen),,1,Dus,20 pack,1.000 Pcs,852
K004,CU002,Cup Pet 16 Oz (Gosyen) @ 1.000 Pcs / Dus,,1,Dus,20 pack,1.000 Pcs,"1118750"
K004,CU003,Cup Pet 22 Oz (Gosyen) @ 1.000 Pcs / Dus,,1,Dus,20 Pack,1.000 Pcs,"1228000"
K004,CU006,Cup PET (NB93) 22 Oz Slim @ 1.000 Pcs / Dus,,1,Dus,20 Pack,1.000 Pcs,610
K004,CU007,Cup PET (NB93) 14 oz @ 1.000 pcs / Dus,,1,Dus,20 pack,1.000 Pcs,505
K004,CU008,Cup PET 16 Oz ( G 98.5 ) @ 1.000 Pcs / Dus. ( Promo ),,1,Dus,20 pack,1.000 Pcs,594
K004,CU009,Cup PET (93 NB) 18 oz @ 1000 pcs/Dus,,1,Dus,20 pack,1.000 Pcs,555
K004,CU025,Cup PET (NB93) 8 oz @ 1.000 Pcs / Dus,,1,Dus,,1.000 Pcs,495
K004,CU026,Cup PET (NB93) 8 oz Oval @ 1.000 Pcs / Dus,,1,Dus,,1.000 Pcs,495
K004,CU027,Cup PET 10 oz (78 mm) @1.000 Pcs/Dus,,1,Dus,,1.000 Pcs,100
K004,CU030,Cup PET Oval 14 Oz (NB93) @1000Pcs/Dus,,1,Dus,,1000 pCS,505
K004,CU031,Cup PET Oval 12 Oz (NB93) @1000Pcs/Dus,,1,Dus,,1000 pcs,505
,,,,,,,,
K001,CH001,Cup Holder 4 Cup @300Pcs/Dus,,1,Dus,,300 Pcs,495
,,,,,,,,
K004,LD002,Lid Dome PET 16 Oz / 22 Oz ( Gosyen ) @ 1.000 Pcs / Dus,,1,Dus,20 pack,1.000 Pcs,356.5
K004,LD003,Lid Dome PET ( NB ) 14 / 22 oz @500 pcs / Dus,,1,Dus,10 pack,500 Pcs,165
K004,LD004,Lid Dome PET ( 93NB ) 10.14.18.22 oz @ 1.000 pcs / Dus,,1,Dus,20 pack,1.000 Pcs,250
K004,LI001,Lid Flat PET 14 Oz (Gosyen),,1,Dus,20 pack,1.000 Pcs,300
K004,LI002,Lid Flat PET 16 Oz / 22 Oz @ 1.000 pcs / Dus ( Gosyen ),,1,Dus,20 pack,1.000 Pcs,330.2
K004,LI004,Lid Flat PET (93NB) 10.14.18.22 oz  @ 1.000 pcs / Dus,,1,Dus,20 pack,1.000 Pcs,250
K004,LI005,Lid Flat Cup PET 16 Oz ( G 98.5 ) @ 1.000 Pcs / Dus. ( Promo ),,1,Dus,20 pack,1.000 Pcs,222.75
K004,LI006,Lid Strawless Cup PET (93NB) 10.14.18.22 Oz @ 1.000Pcs/Dus,,1,Dus,,1.000 Pcs,290
K004,LI007,Lid Strawless Cup PET Gpc (C 9.2) @1000Pcs/Dus,,1,Dus,,1000Pcs,355
K004,LI010,Lid inject hitam,,1,Dus,,,
K004,LI011,Lid inject Natural,,1,Dus,,,
K004,LI008,Lid Strawless Eco Cup PP (New) @1000 Pcs/Dus,,1,Dus,,1000 Pcs,318
K004,LI012,Lid PP Inject Sambung Natural @1000pcs/Dus,,1,Dus,,1000pcs,
K004,LI013,Lid PP Inject Sambung Natural @500pcs/Dus,,1,Dus,,500pcs,180
K004,LI014,Lid Dome Cup PET Eco (NB93) 12.14.18.22 Oz 1000Pcs/Dus,,1,Dus,,1000pcs,190
K004,LI015,Lid PP Inject Sambung Warna Hitam @500pcs/Dus,,1,Dus,,500pcs,180
K012,LI016,Lid Strawless Cup PP Starindo @1000Pcs/Dus,,1,Dus,,1.000Pcs,205
K004,LI017,Lid PP Inject Sambung Warna Putih @500pcs/Dus,,1,Dus,,500Pcs,100
K004,LI018,Lid Strawless Cup PET 10 oz (NB78) @1000pcs/Dus,,1,DUS,,1000 Pcs,100
K012,LI019,Lid Strawless 93 SL @1.000 pcs/dus,,1,DUS,,1000 Pcs,210
K004,LT001,Lid Toppo Cup PET (93NB) 10.14.18.22oz @1000Pcs/Dus,,1,Dus,,1.000Pcs,240
,,,,,,,,
K004,CU010,Cup Puding PP + tutup Ã‚Â± 150 ml @ 1000 set / Dus,,1,Dus,20 pack,1.000 Pcs,516
K004,CU011,Cup Puding PP / Sambal  100 ml @ 1000 pcs / Dus,,1,Dus,40 pack,1.000 Pcs,425
K004,CU012,Cup Puding PS Motif Daun 150 ml @ 700 pcs / Dus,,1,Dus,5 pack,700 Pcs,"815625"
K004,CU013,Cup Puding 100 ml @ 2000 Pcs / Dus,,1,Dus,,2000 Pcs,"882263"
K004,CU014,Cup Puding 100ml/ T.Sambung (new)@ 1000 pcs/dus,,1,Dus,20 pack,1.000 Pcs,420
K004,CU015,Cup Puding 35ml/T.Sambung (New)@1200 Pcs/Dus,35 ML,1,Dus,,1200 Pcs,265
K004,CU019,Cup Puding (New) 60 ml @1200 pcs/dus,,1,Dus,24 pack,1200 Pcs,"461805"
,,,,,,,,
K004,HG002,Sarung Tangan Tebal @ 50 Pack / Dus ( LM ). 200 Pcs / Pack,,1,Dus,50 pack,,999.75
K004,HG003,Sarung Tangan 50 Pack / Dus. 100 Pcs / Pack,,1,Dus,50 pack,5.000 Pcs,322
K004,LS001,Kain Lap Reion 152 pack @ 5pcs = 760 pcs / Dus,,1,Dus,152 pack,760 Pcs,"3040000"
K004,LS003,Kain Lap Reion 240 pack @ 3pcs = 720 pcs / Dus,,1,Dus,240 pack,720 Pcs,"2880000"
,,,,,,,,
K007,PB001,Paper Bowl 360 ml @ 500 Pcs / Dus,,1,Dus,20 pack,500 Pcs,294
K007,PB002,Paper Bowl 500 ml @ 500 Pcs / Dus,,1,Dus,20 pack,500 Pcs,378
K007,PB003,Paper Bowl 650 ml @ 500 Pcs / Dus,,1,Dus,20 pack,500 Pcs,472.5
K007,PB004,Paper Bowl 800 ml @ 500 Pcs / Dus,,1,Dus,10 pack,500 Pcs,493.5
K007,PB007,Paper Bowl 360 ml @ 1.000 Pcs / Dus,,1,Dus,10 Pack,1.000 Pcs,588
K007,PB009,Paper Bowl Kraft 650 ml @ 500 Pcs / Dus,,1,Dus,,1000 pcs,460
K007,PB010,Paper Bowl Kraft 800 ml @ 500 Pcs / Dus,,1,Dus,,1000 pcs,480
K007,PB011,Paper Bowl 800 ml (NESTO) @ 500 Pcs / Dus,,1,Dus,,500 Pcs,369
K007,PB012,Paper Bowl 650 ml (NESTO) @ 500 Pcs / Dus,,1,Dus,,500 Pcs,343.2
,,,,,,,,
K007,TP001,Lid Paper Bowl 360 ml @ 500 Pcs / Dus. Warna Natural,,1,Dus,10 pack,500 Pcs,220.5
K007,TP002,Lid Paper Bowl 500 ml @ 500 pcs / Dus. Warna Natural,,1,Dus,10 pack,500 Pcs,241.5
K007,TP003,Lid paper bowl 650 ml @ 500 Pcs / Dus. Warna Bening,,1,Dus,10 pack,500 Pcs,278.25
K007,TP004,Lid paper bowl 800 ml @ 500 Pcs / Dus Warna Natural,,1,Dus,10 pack,500 Pcs,315
